Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp,Clicked on Ad
74.32,33,62060.11,128.17,Monitored real-time superstructure,North Kevinside,Female,South Africa,5/23/2016 21:14,Yes
73.27,32,67113.46,234.75,Streamlined analyzing initiative,Haleview,Male,Martinique,1/29/2016 20:16,No
80.03,44,24030.06,150.84,Automated static concept,Christinetown,Female,Afghanistan,7/23/2016 14:47,Yes
53.68,47,56180.93,115.26,Operative stable moderator,New Michael,Male,Micronesia,2/16/2016 9:11,Yes
85.84,32,62204.93,192.85,Up-sized 6thgeneration moratorium,Jonesland,Male,French Southern Territories,06/09/2016 21:43,No
85.03,30,60372.64,204.52,Expanded clear-thinking core,North Shannon,Female,Philippines,6/19/2016 9:24,No
70.44,24,65280.16,178.75,Polarized attitude-oriented superstructure,New Sonialand,Male,Algeria,06/06/2016 21:26,No
81.22,53,34309.24,223.09,Networked coherent interface,Port Jason,Male,San Marino,01/07/2016 13:25,No
39.96,45,59610.81,146.13,Enhanced homogeneous moderator,East Barbara,Male,Guernsey,4/15/2016 6:08,Yes
57.05,41,50278.89,NA,Seamless full-range website,Port Erinberg,Male,Sierra Leone,01/09/2016 03:45,Yes
42.44,56,43450.11,168.27,Profit-focused attitude-oriented task-force,Petersonfurt,Female,Tajikistan,02/10/2016 15:23,Yes
62.2,25,25408.21,161.16,Cross-platform multimedia algorithm,New Lindaberg,Female,Liechtenstein,4/24/2016 13:42,Yes
76.7,36,71136.49,222.25,Open-source coherent monitoring,West Russell,Female,Ecuador,06/12/2016 05:31,No
61.22,45,63883.81,119.03,Streamlined logistical secured line,South Adam,Male,Switzerland,01/05/2016 09:42,Yes
84.54,33,64902.47,204.02,Synchronized stable complexity,North Tracyport,Male,Moldova,03/02/2016 10:07,No
46.08,30,66784.81,164.63,Synergistic value-added extranet,Brownport,Male,Finland,7/21/2016 10:54,Yes
56.7,48,62784.85,123.13,Progressive non-volatile neural-net,Port Crystal,Female,France,01/09/2016 04:53,Yes
81.03,28,63727.5,201.15,Persevering tertiary capability,Masonhaven,Female,NA,01/06/2016 13:20,No
NA,32,61608.23,231.42,Enterprise-wide bi-directional secured line,Derrickhaven,Female,Cuba,1/31/2016 4:10,No
40.06,38,56782.18,138.68,Organized contextually-based customer loyalty,Olsonstad,Male,Peru,06/11/2016 08:38,Yes
83.47,39,64447.77,226.11,Total directional approach,New Brandy,Female,Turkey,5/15/2016 20:48,No
73.84,31,42042.95,121.05,Programmable uniform productivity,South Jasminebury,Female,Albania,6/18/2016 17:23,Yes
74.65,28,67669.06,212.56,Robust transitional ability,East Timothy,Female,French Southern Territories,3/17/2016 5:00,No
60.25,35,54875.95,109.77,De-engineered fault-tolerant database,Charlottefort,Female,Papua New Guinea,6/29/2016 13:35,Yes
59.21,35,73347.67,144.62,Managed disintermediate matrices,Lake Beckyburgh,Male,Liechtenstein,02/02/2016 08:55,Yes
43.02,44,50199.77,125.22,Configurable bottom-line application,West Lindseybury,Female,Thailand,4/13/2016 5:42,Yes
84.04,38,50723.67,244.55,Self-enabling didactic pricing structure,West Alyssa,Female,Malaysia,7/20/2016 9:27,No
70.66,43,63450.96,120.95,Versatile scalable encryption,Lake Craigview,Male,Mauritius,2/26/2016 4:57,Yes
70.58,26,56694.12,136.94,Proactive next generation knowledge user,Lake David,Female,Algeria,2/26/2016 9:18,Yes
72.44,34,70547.16,230.14,Customizable tangible hierarchy,Bruceburgh,Female,Christmas Island,4/15/2016 14:45,No
40.17,26,47391.95,171.31,Visionary asymmetric encryption,South Lauratown,Male,Japan,02/01/2016 14:37,Yes
79.15,26,62312.23,203.23,Intuitive explicit conglomeration,Port Robin,Female,Greenland,1/20/2016 19:09,No
44.49,53,63100.13,168,Business-focused real-time toolset,Jacksonburgh,Male,Sao Tome and Principe,4/23/2016 6:28,Yes
73.04,37,73687.5,221.79,Organic contextually-based focus group,Erinmouth,Male,Senegal,6/19/2016 22:26,No
76.28,33,52686.47,254.34,Right-sized asynchronous website,Port Aliciabury,Female,Guadeloupe,2/15/2016 7:55,No
68.88,37,78119.5,179.58,Advanced 5thgeneration capability,Port Whitneyhaven,Female,Belgium,02/09/2016 19:37,No
73.1,28,57014.84,242.37,Universal asymmetric archive,Jeffreyshire,Female,Israel,1/25/2016 7:52,No
47.66,29,27086.4,156.54,Devolved responsive structure,Tinaton,Female,Honduras,7/18/2016 11:33,Yes
87.3,35,58337.18,216.87,Triple-buffered regional toolset,North Loriburgh,Female,Estonia,01/09/2016 07:28,No
89.34,32,50216.01,177.78,Object-based executive productivity,Wendyton,Male,Paraguay,3/21/2016 21:15,No
81.37,26,53049.44,156.48,Business-focused responsive website,Lake Jacqueline,Male,Kyrgyz Republic,2/15/2016 12:25,No
81.67,28,62927.96,196.76,Visionary analyzing structure,North Christopher,Male,Mauritania,03/04/2016 08:48,No
46.37,52,32847.53,144.27,De-engineered solution-oriented open architecture,Alexanderfurt,Female,French Guiana,01/05/2016 00:02,Yes
54.88,24,32006.82,148.61,Customizable modular Internet solution,West Pamela,Female,Northern Mariana Islands,5/15/2016 1:03,Yes
40.67,35,48913.07,133.18,Stand-alone encompassing throughput,West Amanda,Female,Lebanon,05/05/2016 09:28,Yes
71.76,35,69285.69,237.39,Customizable zero-defect matrix,South Tomside,Female,Saint Pierre and Miquelon,5/26/2016 13:18,No
47.51,51,53700.57,130.41,Managed well-modulated collaboration,Bethburgh,Male,American Samoa,5/21/2016 1:36,Yes
75.15,22,52011,212.87,Universal global intranet,Jamiefort,Male,Austria,05/04/2016 12:06,No
56.01,26,46339.25,127.26,Re-engineered real-time success,Garciamouth,Female,Tonga,07/05/2016 18:59,Yes
82.87,37,67938.77,213.36,Front-line fresh-thinking open system,West Brenda,Female,Tonga,6/28/2016 20:13,No
45.05,42,66348.95,141.36,Digitized contextually-based product,South Kyle,Female,French Southern Territories,05/05/2016 11:09,Yes
60.53,24,66873.9,167.22,Organic interactive support,Combsstad,Female,Serbia,3/25/2016 15:17,Yes
50.52,31,72270.88,171.62,Function-based stable alliance,Lake Allenville,Female,New Caledonia,1/23/2016 15:02,Yes
84.71,32,61610.05,210.23,Reactive responsive emulation,Greenechester,Female,Taiwan,5/29/2016 7:29,No
55.2,39,76560.59,159.46,Exclusive zero tolerance alliance,Jordantown,Male,United States of America,5/30/2016 7:36,Yes
81.61,33,62667.51,228.76,Enterprise-wide local matrices,Gravesport,Female,Morocco,4/17/2016 15:46,No
71.55,36,75687.46,163.99,Inverse next generation moratorium,South Troy,Male,Suriname,7/20/2016 23:08,No
82.4,36,66744.65,218.97,Implemented bifurcated workforce,Lake Patrick,Male,Macedonia,6/29/2016 3:07,No
73.95,35,67714.82,238.58,Persevering even-keeled help-desk,Millerland,Female,Wallis and Futuna,04/10/2016 14:48,No
72.07,31,69710.51,226.45,Grass-roots eco-centric instruction set,Port Jessicamouth,Female,Chile,4/16/2016 16:38,No
80.39,31,66269.49,214.74,Fully-configurable incremental Graphical User Interface,Paulport,Female,Gabon,05/03/2016 08:21,No
65.8,25,60843.32,231.49,Expanded radical software,Clineshire,Male,Gabon,3/18/2016 16:04,No
69.97,28,55041.6,250,Mandatory 3rdgeneration moderator,Cynthiaside,Female,Holy See (Vatican City State),5/22/2016 0:01,No
52.62,50,73863.25,176.52,Enterprise-wide foreground emulation,Port Juan,Female,Seychelles,02/01/2016 20:30,Yes
39.25,39,62378.05,152.36,Customer-focused incremental system engine,Michellefort,Female,Mayotte,1/23/2016 17:39,Yes
77.56,38,63336.85,130.83,Right-sized multi-tasking solution,Port Angelamouth,Male,Uganda,5/19/2016 3:52,Yes
33.52,43,42191.61,165.56,Vision-oriented optimizing middleware,Jessicahaven,Female,Cambodia,05/09/2016 21:54,Yes
79.81,24,56194.56,178.85,Proactive context-sensitive project,North Daniel,Male,Antigua and Barbuda,5/31/2016 11:44,Yes
84.79,33,61771.9,214.53,Managed eco-centric encoding,New Juan,Female,Cameroon,3/30/2016 19:09,No
82.7,35,61383.79,231.07,Visionary multi-tasking alliance,Amyfurt,Female,Somalia,01/09/2016 15:49,No
84.88,32,63924.82,186.48,Ameliorated tangible hierarchy,Harrishaven,Female,Lebanon,4/18/2016 3:41,No
54.92,54,23975.35,161.16,Extended interactive model,Roberttown,Female,Saint Pierre and Miquelon,6/13/2016 13:59,Yes
76.56,34,70179.11,221.53,Universal bi-directional extranet,Jeremyshire,Male,Dominica,4/23/2016 8:15,No
69.74,49,66524.8,243.37,Enhanced maximized access,Birdshire,Female,Hungary,3/27/2016 16:41,No
75.55,22,41851.38,169.4,Upgradable even-keeled challenge,New Amanda,Female,Taiwan,2/19/2016 7:29,Yes
72.19,33,61275.18,250.35,Synchronized national infrastructure,Curtisview,Male,Saint Lucia,5/19/2016 11:16,No
84.29,41,60638.38,232.54,Re-contextualized systemic time-frame,Jacksonmouth,Female,Niue,1/27/2016 20:47,No
73.89,39,47160.53,110.68,Horizontal national architecture,North April,Female,France,4/20/2016 0:41,Yes
75.84,21,48537.18,186.98,Reactive bi-directional workforce,Hayesmouth,Female,Cyprus,02/07/2016 07:41,No
73.38,25,53058.91,236.19,Horizontal transitional challenge,South Corey,Male,French Southern Territories,4/21/2016 9:30,No
80.72,31,68614.98,186.37,Re-engineered neutral success,Juliaport,Female,Costa Rica,4/19/2016 5:15,No
62.06,44,44174.25,105,Adaptive contextually-based methodology,Port Paultown,Female,Austria,04/12/2016 14:01,Yes
51.5,34,67050.16,135.31,Configurable dynamic adapter,East Vincentstad,Female,Zambia,3/15/2016 11:25,Yes
90.97,37,54520.14,180.77,Multi-lateral empowering throughput,Kimberlytown,Female,Congo,2/16/2016 18:21,No
86.78,30,54952.42,170.13,Fundamental zero tolerance solution,New Steve,Male,United States of America,2/18/2016 23:08,No
66.18,35,69476.42,243.61,Proactive asymmetric definition,New Johnberg,Female,Pitcairn Islands,3/25/2016 8:40,No
84.33,41,54989.93,240.95,Pre-emptive zero tolerance Local Area Network,Shawstad,Female,Belize,3/16/2016 0:28,No
36.87,36,29398.61,195.91,Self-enabling incremental collaboration,New Rebecca,Female,Anguilla,1/28/2016 11:50,Yes
34.78,48,42861.42,208.21,Exclusive even-keeled moratorium,Jeffreyburgh,Male,South Africa,3/24/2016 2:01,Yes
76.84,32,65883.39,231.59,Reduced incremental productivity,Faithview,Female,Singapore,03/03/2016 22:31,No
67.05,25,65421.39,220.92,Realigned scalable standardization,Richardsontown,Female,Finland,2/26/2016 9:54,No
41.47,31,60953.93,219.79,Secured scalable Graphical User Interface,Port Brookeland,Female,Martinique,07/06/2016 15:56,Yes
80.71,26,58476.57,200.58,Team-oriented context-sensitive installation,East Christopherbury,Female,Cameroon,6/24/2016 5:50,No
80.09,31,66636.84,214.08,Pre-emptive systematic budgetary management,Port Christinemouth,Female,Sweden,5/23/2016 21:00,No
56.3,49,67430.96,135.24,Fully-configurable high-level implementation,South Meghan,Male,New Caledonia,02/03/2016 19:12,Yes
79.36,34,57260.41,245.78,Profound maximized workforce,Hessstad,Male,Bosnia and Herzegovina,4/28/2016 22:54,No
86.38,40,66359.32,188.27,Cross-platform 4thgeneration focus group,Rhondaborough,Male,Singapore,3/19/2016 14:57,No
38.94,41,57587,142.67,Optional mission-critical functionalities,Lewismouth,Male,Falkland Islands (Malvinas),7/15/2016 9:08,Yes
87.26,35,63060.55,184.03,Multi-layered tangible portal,New Paul,Female,Bosnia and Herzegovina,05/12/2016 04:35,No
75.32,28,59998.5,233.6,Reduced mobile structure,Lake Angela,Male,Mauritius,01/01/2016 21:58,No
74.38,40,74024.61,220.05,Enhanced zero tolerance Graphic Interface,East Graceland,Male,Indonesia,3/13/2016 13:50,No
65.9,22,60550.66,211.39,De-engineered tertiary secured line,Hartport,Female,Czech Republic,7/16/2016 14:13,No
36.31,47,57983.3,168.92,Reverse-engineered well-modulated capability,East Yvonnechester,Female,Eritrea,4/18/2016 0:49,Yes
72.23,48,52736.33,115.35,Integrated coherent pricing structure,Burgessside,Female,Mexico,7/17/2016 1:13,Yes
88.12,38,46653.75,230.91,Realigned next generation projection,Hurleyborough,Female,Gibraltar,2/17/2016 7:05,No
83.97,28,56986.73,205.5,Reactive needs-based instruction set,Garychester,Male,Haiti,6/16/2016 2:33,No
61.09,26,55336.18,131.68,User-friendly well-modulated leverage,East Kevinbury,Male,Falkland Islands (Malvinas),04/09/2016 16:31,Yes
65.77,21,42162.9,218.61,Function-based fault-tolerant model,Contrerasshire,Male,Eritrea,3/18/2016 17:35,No
81.58,25,39699.13,199.39,Decentralized needs-based analyzer,Erikville,Female,Hong Kong,05/11/2016 22:02,No
37.87,52,56394.82,188.56,Phased analyzing emulation,Robertsonburgh,Male,Gambia,5/25/2016 20:10,Yes
76.2,37,75044.35,178.51,Multi-layered fresh-thinking process improvement,Karenton,Female,Barbados,2/29/2016 19:26,No
60.91,19,53309.61,184.94,Upgradable directional system engine,Port Kathleenfort,Female,Nauru,06/09/2016 14:24,Yes
74.49,28,58996.12,237.34,Persevering eco-centric flexibility,Lake Adrian,Female,Peru,1/30/2016 16:15,No
73.71,23,56605.12,211.38,Inverse local hub,New Sheila,Male,El Salvador,2/15/2016 5:35,No
78.19,30,62475.99,228.81,Triple-buffered needs-based Local Area Network,Mollyport,Female,Libyan Arab Jamahiriya,1/31/2016 6:14,No
79.54,44,70492.6,217.68,Centralized multi-state hierarchy,Sandraland,Male,Cambodia,01/05/2016 16:34,No
74.87,52,43698.53,126.97,Public-key non-volatile implementation,Charlenetown,Female,Saint Barthelemy,5/31/2016 2:17,Yes
87.09,36,57737.51,221.98,Synergized coherent interface,Luischester,Male,Reunion,4/21/2016 16:10,No
37.45,47,31281.01,167.86,Horizontal high-level concept,South Johnnymouth,Female,Antigua and Barbuda,04/10/2016 03:30,Yes
49.84,39,45800.48,111.59,Reduced multimedia project,Hannaport,Female,Samoa,02/09/2016 07:21,Yes
51.38,59,42362.49,158.56,Object-based modular functionalities,East Anthony,Female,Afghanistan,6/17/2016 17:11,Yes
83.4,34,66691.23,207.87,Polarized multimedia system engine,West Daleborough,Female,Azerbaijan,5/22/2016 21:54,No
38.91,33,56369.74,150.8,Versatile reciprocal structure,Morrismouth,Male,Philippines,7/13/2016 7:41,Yes
62.14,41,59397.89,110.93,Upgradable multi-tasking initiative,North Andrewstad,Male,Angola,1/23/2016 18:59,Yes
79.72,28,66025.11,193.8,Configurable tertiary budgetary management,Wrightburgh,Male,Albania,5/20/2016 12:17,No
73.3,36,68211.35,135.72,Adaptive asynchronous attitude,West Tanya,Male,Hungary,1/30/2016 4:38,Yes
NA,42,73608.99,231.48,Face-to-face mission-critical definition,Novaktown,Male,Faroe Islands,4/21/2016 12:34,No
71.9,54,61228.96,140.15,Inverse zero tolerance customer loyalty,Timothymouth,Male,Czech Republic,4/22/2016 20:32,Yes
72.45,29,72325.91,195.36,Centralized 24hour synergy,Robertmouth,Male,Svalbard & Jan Mayen Islands,01/11/2016 06:02,No
77.07,40,44559.43,261.02,Face-to-face analyzing encryption,Stephenborough,Female,Afghanistan,03/01/2016 10:01,No
74.62,36,73207.15,217.79,Self-enabling even-keeled methodology,Lake Kurtmouth,Female,Rwanda,04/04/2016 08:19,No
82.07,25,46722.07,205.38,Function-based optimizing extranet,Lauraburgh,Male,Panama,6/20/2016 6:30,No
58.6,50,45400.5,113.7,Organic asynchronous hierarchy,Rogerburgh,Female,Samoa,1/28/2016 7:10,Yes
36.08,45,41417.27,151.47,Automated client-driven orchestration,Davidside,Male,United States Minor Outlying Islands,07/03/2016 04:11,Yes
79.44,26,60845.55,206.79,Public-key zero-defect analyzer,West Thomas,Female,Greece,5/15/2016 13:18,No
41.73,47,60812.77,144.71,Proactive client-server productivity,Andersonchester,Female,Cote d'Ivoire,04/08/2016 22:48,Yes
73.19,25,64267.88,203.74,Cloned incremental matrices,North Ronaldshire,Male,Pakistan,1/19/2016 12:18,No
77.6,24,58151.87,197.33,Open-architected system-worthy task-force,Greghaven,Male,Anguilla,5/26/2016 15:40,No
89,37,52079.18,222.26,Devolved regional moderator,Jordanmouth,Male,Cyprus,1/26/2016 15:56,No
69.2,42,26023.99,123.8,Balanced value-added database,Meyersstad,Female,Peru,6/17/2016 9:58,Yes
67.56,31,62318.38,125.45,Seamless composite budgetary management,Michelleside,Female,Kenya,4/25/2016 21:15,Yes
81.11,39,56216.57,248.19,Total cohesive moratorium,South Robert,Male,Chad,7/13/2016 11:41,No
80.22,30,61806.31,224.58,Integrated motivating neural-net,New Tyler,Female,Kyrgyz Republic,07/05/2016 15:14,No
43.63,41,51662.24,123.25,Exclusive zero tolerance frame,Jordanshire,Male,Albania,3/15/2016 14:06,Yes
77.66,29,67080.94,168.15,Operative scalable emulation,Reyesland,Female,Gabon,6/19/2016 22:08,No
74.63,26,51975.41,235.99,Enhanced asymmetric installation,New Traceystad,Male,Dominican Republic,07/05/2016 20:16,No
49.67,27,28019.09,153.69,Face-to-face reciprocal methodology,Port Brian,Female,Zimbabwe,05/09/2016 08:44,Yes
80.59,37,67744.56,224.23,Robust responsive collaboration,Lake Courtney,Female,Croatia,7/21/2016 23:14,No
83.49,33,66574,190.75,Polarized logistical hub,Samuelborough,Male,Cambodia,06/03/2016 17:32,No
44.46,42,30487.48,132.66,Intuitive zero-defect framework,Christinehaven,Male,Mongolia,1/15/2016 19:40,Yes
68.1,40,74903.41,227.73,Reactive composite project,Thomasstad,Male,Honduras,02/05/2016 16:50,No
63.88,38,19991.72,136.85,Upgradable even-keeled hardware,Kristintown,Female,Madagascar,2/29/2016 23:56,Yes
78.83,36,66050.63,234.64,Future-proofed responsive matrix,New Wanda,Male,Qatar,05/08/2016 12:08,No
79.97,44,70449.04,216,Programmable empowering middleware,Mariebury,Female,China,7/13/2016 1:48,No
80.51,28,64008.55,200.28,Robust dedicated system engine,Christopherville,Male,Bangladesh,01/08/2016 02:34,No
62.26,26,70203.74,202.77,Public-key mission-critical core,New Jasmine,Female,Swaziland,06/08/2016 12:25,No
66.99,47,27262.51,124.44,Operative actuating installation,Lopezberg,Male,Tanzania,6/15/2016 11:56,Yes
71.05,20,49544.41,204.22,Self-enabling asynchronous knowledge user,Jenniferstad,Male,Eritrea,6/13/2016 22:41,No
42.05,51,28357.27,174.55,Configurable 24/7 hub,West Eduardotown,Male,Canada,6/20/2016 14:20,Yes
50.52,28,66929.03,219.69,Versatile responsive knowledge user,Davisfurt,Female,Saint Kitts and Nevis,04/03/2016 06:17,Yes
76.24,40,75524.78,198.32,Managed impactful definition,Bakerhaven,Male,Burkina Faso,5/31/2016 23:42,No
77.29,27,66265.34,201.24,Grass-roots 4thgeneration forecast,Paulshire,Male,Tuvalu,2/15/2016 3:43,No
35.98,47,55993.68,165.52,Focused 3rdgeneration pricing structure,West Jane,Male,El Salvador,03/10/2016 23:26,Yes
84.95,34,56379.3,230.36,Mandatory dedicated data-warehouse,Lake Brian,Female,Madagascar,2/26/2016 17:01,No
39.34,43,31215.88,148.93,Proactive radical support,Alvaradoport,Female,Bangladesh,4/17/2016 21:39,Yes
87.23,29,51015.11,202.12,Re-engineered responsive definition,Lake Kevin,Female,American Samoa,3/26/2016 19:54,No
57.24,52,46473.14,117.35,Profound optimizing utilization,Richardsonland,Male,Latvia,6/29/2016 21:39,Yes
81.58,41,55479.62,248.16,Cloned explicit middleware,East Sheriville,Female,Moldova,1/27/2016 17:55,No
56.34,50,68713.7,139.02,Multi-channeled mission-critical success,Port Michealburgh,Male,Anguilla,3/17/2016 23:39,Yes
48.73,27,34191.23,142.04,Versatile content-based protocol,Monicaview,Female,Bangladesh,07/09/2016 16:23,Yes
51.68,49,NA,258.62,Seamless cohesive conglomeration,Katieport,Female,Faroe Islands,6/28/2016 12:51,Yes
35.34,45,46693.76,152.86,De-engineered actuating hierarchy,East Brittanyville,Female,Taiwan,6/18/2016 16:32,Yes
48.09,33,19345.36,180.42,Balanced motivating help-desk,West Travismouth,Female,Heard Island and McDonald Islands,5/28/2016 12:38,Yes
78.68,29,66225.72,208.05,Inverse high-level capability,Leonchester,Female,Israel,1/16/2016 16:40,No
68.82,20,38609.2,205.64,Cross-platform client-server hierarchy,Ramirezland,Male,Bolivia,07/11/2016 15:45,No
56.99,40,37713.23,108.15,Sharable optimal capacity,Brownton,Female,Bahamas,7/16/2016 23:08,Yes
86.63,39,63764.28,209.64,Face-to-face multimedia success,New Jessicaport,Male,Costa Rica,04/06/2016 21:20,No
41.18,43,41866.55,129.25,Enterprise-wide incremental Internet solution,New Denisebury,Male,Myanmar,07/05/2016 00:54,Yes
71.03,32,57846.68,120.85,Advanced systemic productivity,Keithtown,Female,Netherlands Antilles,2/17/2016 23:47,Yes
72.92,29,69428.73,217.1,Customizable mission-critical adapter,Port Melissastad,Male,Czech Republic,3/15/2016 17:33,No
77.14,24,60283.98,184.88,Horizontal heuristic synergy,Janiceview,Male,Iceland,1/21/2016 18:51,No
60.7,43,79332.33,192.6,Multi-tiered multi-state moderator,Mataberg,Male,Palau,06/06/2016 22:41,No
34.3,41,53167.68,160.74,Re-contextualized reciprocal interface,West Melaniefurt,Male,Libyan Arab Jamahiriya,5/16/2016 14:50,Yes
83.71,45,64564.07,220.48,Organized demand-driven knowledgebase,Millerfort,Male,Kazakhstan,4/17/2016 19:10,No
53.38,35,60803.37,120.06,Total local synergy,Alexanderview,Male,French Guiana,3/30/2016 1:05,Yes
58.03,31,28387.42,129.33,User-friendly bandwidth-monitored attitude,South Jade,Female,Tuvalu,6/29/2016 9:04,Yes
43.59,36,58849.77,132.31,Re-engineered context-sensitive knowledge user,Lake Susan,Male,Congo,5/26/2016 13:43,Yes
60.07,42,65963.37,120.75,Total user-facing hierarchy,South Vincentchester,Male,United Kingdom,4/15/2016 10:16,Yes
54.43,37,75180.2,154.74,Balanced contextually-based pricing structure,Williamsmouth,Male,Luxembourg,5/31/2016 9:06,Yes
81.99,33,61270.14,230.9,Inverse bi-directional knowledge user,Taylorport,Female,French Polynesia,2/15/2016 14:13,No
60.53,29,56759.48,123.28,Networked even-keeled workforce,Williamsport,Female,Papua New Guinea,05/09/2016 10:21,Yes
84.69,31,46160.63,231.85,Right-sized transitional parallelism,Emilyfurt,Male,Maldives,07/07/2016 23:32,No
88.72,32,43870.51,211.87,Customer-focused system-worthy superstructure,East John,Male,Zambia,01/03/2016 17:10,No
88.89,35,50439.49,218.8,Balanced 4thgeneration success,East Deborahhaven,Male,Cook Islands,7/17/2016 18:55,No
69.58,43,28028.74,255.07,Cross-group value-added success,Port Katelynview,Female,Congo,04/04/2016 18:36,Yes
85.23,36,64238.71,212.92,Visionary client-driven installation,Paulhaven,Male,Senegal,2/27/2016 12:34,No
83.55,39,65816.38,221.18,Switchable well-modulated infrastructure,Elizabethmouth,Male,Myanmar,06/08/2016 20:13,No
56.66,42,72684.44,139.42,Upgradable asymmetric emulation,Lake Jesus,Female,Dominican Republic,2/20/2016 10:52,Yes
56.39,27,38817.4,248.12,Configurable tertiary capability,North Tylerland,Male,Bahrain,3/23/2016 21:06,No
76.24,27,63976.44,214.42,Monitored dynamic instruction set,Munozberg,Female,Puerto Rico,06/07/2016 01:29,No
57.64,36,37212.54,110.25,Robust web-enabled attitude,North Maryland,Male,Chile,1/18/2016 15:18,Yes
78.18,23,52691.79,167.67,Customer-focused full-range neural-net,West Barbara,Female,Bolivia,06/09/2016 19:32,No
46.04,32,65499.93,147.92,Universal transitional Graphical User Interface,Andrewborough,Female,Serbia,5/30/2016 20:07,Yes
79.4,35,63966.72,236.87,User-centric intangible contingency,New Gabriel,Female,Malaysia,04/01/2016 09:21,No
36.44,39,52400.88,147.64,Configurable disintermediate throughput,Port Patrickton,Male,Estonia,5/31/2016 6:21,Yes
53.14,38,49111.47,109,Automated web-enabled migration,West Julia,Male,Greenland,07/03/2016 22:13,Yes
32.84,40,41232.89,171.72,Triple-buffered 3rdgeneration migration,New Keithburgh,Female,Trinidad and Tobago,03/10/2016 01:36,Yes
73.72,32,52140.04,256.4,Universal contextually-based system engine,Richardsland,Male,Thailand,3/18/2016 2:39,No
38.1,34,60641.09,214.38,Optional secondary access,North Aaronchester,Male,Philippines,5/30/2016 18:08,Yes
73.93,44,74180.05,218.22,Quality-focused scalable utilization,Lake Matthewland,Female,Niue,2/20/2016 0:06,No
51.87,50,51869.87,119.65,Team-oriented dynamic forecast,Kevinberg,Female,Afghanistan,03/10/2016 22:28,Yes
77.69,22,48852.58,169.88,Horizontal heuristic support,Morganfort,Male,Angola,6/21/2016 14:32,No
43.41,28,59144.02,160.73,Customer-focused zero-defect process improvement,Lovemouth,Female,Egypt,02/05/2016 15:26,Yes
55.92,24,33951.63,145.08,Focused systemic benchmark,Taylorhaven,Female,Fiji,5/31/2016 21:41,Yes
80.67,34,58909.36,239.76,Seamless impactful info-mediaries,Jamesville,Female,Portugal,01/01/2016 02:52,No
83.42,25,49850.52,183.42,Advanced heuristic firmware,East Toddfort,Male,Austria,03/04/2016 14:10,No
82.12,52,28679.93,201.15,Fully-configurable client-driven customer loyalty,East Dana,Male,Germany,02/03/2016 10:40,Yes
66.17,33,NA,238.45,Cross-group neutral synergy,West Lucas,Female,Panama,1/20/2016 0:26,No
43.01,35,48347.64,127.37,Organized 24/7 middleware,Butlerfort,Female,United States of America,06/11/2016 09:37,Yes
80.05,25,45959.86,219.94,Networked stable open architecture,Lindaside,Male,Christmas Island,03/08/2016 05:48,No
64.88,42,70005.51,129.8,Customizable systematic service-desk,West Chloeborough,Male,Equatorial Guinea,2/14/2016 22:23,Yes
79.82,26,51512.66,223.28,Function-based directional productivity,Jayville,Male,Micronesia,7/17/2016 22:04,No
48.03,40,25598.75,134.6,Networked stable array,East Lindsey,Male,Malta,06/02/2016 22:16,Yes
32.99,45,49282.87,177.46,Phased full-range hardware,Masseyshire,Female,Ecuador,4/30/2016 19:42,Yes
74.88,27,67240.25,175.17,Organized empowering policy,Sarahton,Male,Sudan,4/17/2016 6:58,No
36.49,52,42136.33,196.61,Object-based system-worthy superstructure,Ryanhaven,Male,Lao People's Democratic Republic,03/09/2016 00:41,Yes
88.04,45,62589.84,191.17,Profound explicit hardware,Lake Deborahburgh,Male,Saint Vincent and the Grenadines,03/07/2016 20:02,No
45.7,33,67384.31,151.12,Self-enabling multimedia system engine,New Williammouth,Male,Switzerland,5/26/2016 10:33,Yes
82.38,35,25603.93,159.6,Polarized analyzing intranet,Port Blake,Female,Spain,7/18/2016 1:36,Yes
52.68,23,39616,149.2,Vision-oriented attitude-oriented Internet solution,West Richard,Male,Turks and Caicos Islands,7/16/2016 5:56,Yes
65.59,47,28265.81,121.81,Digitized disintermediate ability,Brandymouth,Female,Indonesia,3/22/2016 6:41,Yes
65.65,25,63879.72,224.92,Intuitive explicit firmware,Sandraville,Male,Cook Islands,06/03/2016 06:34,No
43.84,36,70592.81,167.42,Public-key real-time definition,Port Jessica,Female,Australia,6/28/2016 9:19,Yes
67.69,37,76408.19,216.57,Monitored content-based implementation,Lake Jasonchester,Female,Finland,7/18/2016 18:33,No
78.37,24,55015.08,207.27,Quality-focused zero-defect budgetary management,Pearsonfort,Female,Pakistan,1/23/2016 4:47,No
81.46,29,51636.12,231.54,Intuitive fresh-thinking moderator,Sellerstown,Female,Ireland,2/29/2016 11:00,No
47.48,31,29359.2,141.34,Reverse-engineered 24hour hardware,Yuton,Female,Eritrea,6/30/2016 0:19,Yes
75.15,33,71296.67,219.49,Synchronized zero tolerance product,Smithtown,Male,France,6/19/2016 18:19,No
78.76,24,46422.76,219.98,Reactive interactive protocol,Joanntown,Male,Austria,01/08/2016 08:08,No
44.96,50,52802,132.71,Focused fresh-thinking Graphic Interface,South Peter,Male,Heard Island and McDonald Islands,01/02/2016 12:25,Yes
